,1th_theta,2th_theta,3th_theta,4th_theta,5th_theta,6th_theta,7th_theta,8th_theta,9th_theta,10th_theta,11th_theta,12th_theta,13th_theta,14th_theta,15th_theta,16th_theta,17th_theta,18th_theta,19th_theta,20th_theta,21th_theta,22th_theta,23th_theta,24th_theta,25th_theta,26th_theta,27th_theta,28th_theta,29th_theta,30th_theta,31th_theta,32th_theta,33th_theta,34th_theta,35th_theta,36th_theta,37th_theta,38th_theta,39th_theta,40th_theta,41th_theta,42th_theta,43th_theta,44th_theta,45th_theta,46th_theta,47th_theta,48th_theta,49th_theta,50th_theta,51th_theta,52th_theta,53th_theta,54th_theta,55th_theta,56th_theta,57th_theta,58th_theta,59th_theta,60th_theta,61th_theta,62th_theta,63th_theta,64th_theta,65th_theta,66th_theta,67th_theta,68th_theta,69th_theta,70th_theta,71th_theta,72th_theta,73th_theta,74th_theta,75th_theta,76th_theta,77th_theta,78th_theta,79th_theta,80th_theta,81th_theta,82th_theta,83th_theta,84th_theta
0,1.5790762451996159,3.4611950974286865,3.160474395879125,3.4651887489701716,7.867599768566945,4.775942725607596,2.0234146706537848,3.95213742229752,4.769231351669067,2.84916983885177,6.236601293970519,3.6351228035842977,3.431863288062351,5.701188225131638,1.0624930643412478,0.5186506814417187,1.575524116548637,1.573044428246069,2.7187750263087214,3.277166609176361,2.990063933214393,4.672780644695297,3.392303001955906,6.4395391593481515,1.6850780263235188,2.767932565788491,3.410654304286516,7.198999914058321,1.570843255436515,1.5811307967737953,3.504202415020369,5.852197980215996,6.269051505557169,1.6671034018904238,3.1734189823228487,1.9035991984535718,5.616830342749649,3.6979994694275744,3.897052254346307,3.7488019379660047,0.7234820924561345,3.609943893658996,4.020340582087618,3.8188361780111255,2.1012189079534327,4.018005619048727,5.064006114135057,3.0764009406142607,4.389572722563617,3.5560795129372127,5.83974864820363,1.7148850644082136,1.3899101097837274,1.1302316839954654,3.26815094630547,1.0635317211501545,2.546610578747719,1.7429174837048143,2.073373728728908,4.511330111094535,6.304318220045003,1.7341112291081875,1.8009114586796398,3.681883897328099,1.7042779150989296,0.5193848329724897,7.3920234796069355,8.869173235806265,11.52036546710834,17.70111336481149,9.042013637224374,20.24363963237289,9.342041090483795,10.995658626015798,9.018426523241363,2.591814175418554,13.24206823586449,8.475922753626925,17.37077238671287,18.517355145957225,12.028597267095275,33.18601935322589,7.423050095222388,13.248022898673259
1,1.5779741450746687,3.4605866947326285,3.159718802659055,3.4579645703530044,7.8613723456021996,4.761315506499831,2.032066843567864,3.957502495999856,4.769226008378662,2.8436593676314494,6.242642482280091,3.6330328347784997,3.4328949945483664,5.701803663537069,1.0640748404340892,0.5194556444452993,1.5731765932764135,1.5704928244139125,2.7208850852074495,3.2802153485269687,2.9889564286609707,4.672530638521125,3.3906645682762804,6.439918209711374,1.6866706911471014,2.7697327891163326,3.406730863754461,7.203716749559681,1.5690982354621055,1.5804015308085886,3.506286190295409,5.851734568505686,6.271111617854057,1.6671511156187733,3.173688709956255,1.9042631568638648,5.621569514367719,3.6959518077317304,3.9050559272161376,3.742036569856264,0.7250244370896419,3.6076131204389643,4.02284538504283,3.8182771488292744,2.1019006592296594,4.020243344387012,5.062250747317096,3.0791709630311197,4.38840495469229,3.5563051650540536,5.838362390127038,1.7142225955031063,1.3892713953450788,1.1293921998449008,3.266454841446319,1.0627850286524518,2.5472683893343504,1.7426914309302466,2.072349330540172,4.509669361035725,6.3091461186829765,1.7343091261187586,1.8013256836733258,3.6778940194315157,1.705764305951182,0.5310551334385367,7.412320280662334,8.853077498174668,11.510385351691028,17.68022953347577,9.055437327764984,20.200167023313288,9.35855928693082,11.15996516660524,9.035097248300623,2.595080699822109,13.30622749474871,8.462099780922863,17.38627503658347,18.52385304867559,12.014678932869467,33.17863523796753,7.434259363338475,13.27023720764421
2,1.578982673726296,3.4718970331107357,3.155431679482761,3.4518251661888852,7.867943645971069,4.753826290113324,2.030580680207269,3.952348704959952,4.783127906935652,2.840420706739616,6.236517961864088,3.6390760836418794,3.4351278213583583,5.708611903471581,1.0648318754968598,0.5194717318628502,1.5715481896500267,1.5696877306058652,2.721493660673903,3.27800772688643,2.9957624111888754,4.670063165296957,3.3933073025757556,6.440524680518456,1.686436586186384,2.7700719672165346,3.4085491175208786,7.204072039921499,1.568857347257613,1.5794158406565986,3.5076747737899807,5.855466611777669,6.269352562179289,1.667935868682512,3.1742565255237407,1.9013497696286195,5.618340405857374,3.694087950185685,3.899823355206917,3.7491701048387007,0.7250191302227974,3.606027903222832,4.018568089238194,3.8211400512321525,2.1011850244910546,4.016366730161195,5.107416886196309,3.0829969553506293,4.392803932121037,3.5551914885501867,5.8423566573378745,1.7160017895379942,1.38864680234687,1.1309013758827215,3.2707409064573993,1.0619571947556925,2.5490739724678995,1.7442991917404915,2.0722133483970535,4.5079179272377345,6.315216481396348,1.732087897737391,1.8003730690190678,3.678683402095486,1.7061187938583955,0.5318558300759291,7.415244609288315,8.870535942765864,11.539556743479592,17.736294162583803,9.084588629394808,20.19284299883119,9.387564541195644,11.174959606481544,9.049466831152706,2.5992588392615597,13.338714025301098,8.474786916605446,17.398156349082797,18.51165709625883,12.044982000005401,33.25525273225057,7.4470052230268555,13.291885846601744
3,1.578737194625543,3.4653417145213377,3.150345980417817,3.448843349807743,7.861044445279028,4.758952208800988,2.0360431353038635,3.95709701285216,4.77427663184004,2.8386140305679306,6.238663993819726,3.6356287915010306,3.4354612538403533,5.706839397929385,1.0659143226598866,0.5198208874987187,1.5701574687652198,1.5702164563949665,2.729518384496476,3.280688293221672,2.9933297451778893,4.670966696061031,3.3979570271793396,6.43250387645903,1.6867922611142174,2.768945125999455,3.414255208071588,7.204971633234979,1.569592617950534,1.5817494943498582,3.51159633969323,5.856596011834567,6.2657871352818475,1.668679735670839,3.1759809718186975,1.9012347895786756,5.609991797659894,3.695397714917063,3.905776950731881,3.744009789440692,0.7262368602252223,3.6119647980149585,4.023837630473057,3.8258389133144606,2.1014280956225946,4.018886374737379,5.100945924939213,3.088690302466946,4.394299178493747,3.5551150223188195,5.83810660109782,1.713761577284287,1.3879132998021513,1.1310120813599231,3.271591703933567,1.063652394408938,2.5515166841409265,1.7435175580832223,2.072093466422651,4.508505885558153,6.3151755173776785,1.732186939505038,1.800880250853572,3.6803909843306744,1.7053188823388177,0.5322440957648285,7.443329788246087,8.893890647486744,11.556089536413563,17.806074352911303,9.092383975825792,20.223746793161787,9.421321193873897,11.217856629669614,8.953818076474615,2.60648481041194,13.388359998241668,8.508008391067563,17.44962760766962,18.5338205072617,12.064895459894316,33.37663744720578,7.463610604914834,13.320190027107834
4,1.5766827993410109,3.4626071959019793,3.147927472023448,3.4560056025496078,7.866275304788413,4.7560809195739235,2.0347827365835633,3.9534730356177814,4.769793850002518,2.8420072942829124,6.241014994059453,3.6360975005431175,3.437198901719441,5.702563864435161,1.0691193047218455,0.5213368378166825,1.5711323452489432,1.5736580360985912,2.7391806579205937,3.2857653836731373,2.9938537428666647,4.667905196546307,3.399330867648616,6.433487246985472,1.6859209905617445,2.7730077672122646,3.416545886345564,7.200819264176341,1.56914309753872,1.5810362742160013,3.5117035884253607,5.854277169172983,6.268396571446115,1.6708695158946816,3.1760291356139576,1.899393258301405,5.603450556975814,3.6955436295057287,3.9029664847610483,3.752635833948332,0.7285709581964263,3.612138398319661,4.022664351449654,3.8259329439744376,2.104927021906869,4.015645978959638,5.098498549087945,3.0893870080957333,4.391483377934119,3.5553853192798797,5.836553757825668,1.716650357936722,1.391255789352138,1.1312322065587725,3.272830876513419,1.063394828047508,2.551811144279619,1.7440514916945093,2.0708863838785927,4.507195207561149,6.314035935482656,1.7331673033969786,1.8001566619596865,3.6820229447256905,1.7064158749699843,0.5325671442662222,7.464213806023427,8.919734466393372,11.586900687477062,17.865853853554846,9.120279197225624,20.28993969202088,9.447504557999451,11.250270925662377,8.978363986082632,2.613692774205293,13.40582949647263,8.312410299611207,17.50669061588653,18.582930931575504,12.10407820615485,33.466761856535165,7.483911388371058,13.357733807317391
5,1.5761474823451405,3.4640405203903697,3.1550852705472687,3.454064407147717,7.8703032329653375,4.75930497693102,2.0500696149486544,3.956161886505386,4.769981755824251,2.840940429080827,6.24305314554229,3.6371644461428048,3.4400292007303523,5.705339302109835,1.0699722769720306,0.5216011091751654,1.5718254455452385,1.5736403713016434,2.7417728528102425,3.287006223891589,2.9948573720960665,4.668509230485743,3.397715424330296,6.433857204478395,1.6855446208011218,2.772910539946207,3.4143852495643094,7.204801132559877,1.5706444336104668,1.5817894950422098,3.5146229388621335,5.842856090481279,6.267924577744149,1.6700988468144595,3.1749733240748346,1.8995225468699153,5.605950050707734,3.694353543205807,3.9062384137482424,3.7505947323902764,0.7290908141954582,3.6123429336888915,4.024016574285707,3.8277911174886303,2.104751459403298,4.018143034018128,5.0976643574912375,3.0863962761463357,4.391210710858485,3.5571922623270695,5.834846828782628,1.7166858115948893,1.3920455331688362,1.1318987112874628,3.271405974107827,1.0644371546944353,2.552589610781789,1.7433333475715889,2.071843441990888,4.506410151382731,6.317295173158502,1.7344814028503812,1.800310785005075,3.6806858345405167,1.70781066901709,0.5327542523838098,7.475576721543078,8.931339499059051,11.605886690849799,17.88771606906858,9.141017006960723,20.306107061981297,9.460414333041786,11.26804037445217,8.989624451988224,2.615913824886207,13.415414608184129,8.323032648672456,17.546497557234815,18.625185042183944,12.120356633634358,33.52096391664358,7.4971180532791895,13.386022895206946
6,1.5759286351620703,3.4642431902080113,3.159187091260633,3.4535250564581377,7.867186513628793,4.768515052387552,2.0510878043488114,3.957910986745111,4.769970129177528,2.8412489431989902,6.243675650304747,3.637906313662671,3.4392205273409573,5.707382762929395,1.0711860603876036,0.5226104972259413,1.5721197756135532,1.5739710171929813,2.7421229609619617,3.289075085296031,2.9960246939014965,4.667373133604607,3.3967240657273328,6.434133891686843,1.6862179661249992,2.773489067348235,3.4133588746401378,7.205890418072659,1.5713627899612663,1.581775488084292,3.5164933735580157,5.842829852615823,6.267459667692965,1.6701780973615987,3.1748368238850806,1.8995480494461225,5.6082938023262,3.694669541259069,3.9081225519431126,3.752486599903735,0.7290921540602058,3.6118794551442575,4.016990422041099,3.8283173265765496,2.106278359979477,4.01705644748027,5.097936119620098,3.086953941071373,4.390343168577875,3.5564582493558587,5.835596104409933,1.7167589430448498,1.3924948120761504,1.1316939396459436,3.271481738016997,1.065539306404201,2.553333549968465,1.743759691172078,2.0734637475426214,4.50684659342569,6.319173785464713,1.7344288056993102,1.8012265300490544,3.680435930018194,1.7083944433755696,0.532983731890669,7.490043251009084,8.948623180418604,11.628346082017373,17.922331882835437,9.158706450438633,20.34540287915958,9.472570444641004,11.289845974765456,9.007020924777839,2.6209760690230652,13.441375747766674,8.339139151427162,17.580453054367972,18.661227985525862,12.143811612816595,33.585832759582715,7.511626268935031,13.41192715675884
7,1.5757356028565144,3.461329475497756,3.1561891058744225,3.458975462309736,7.872374092560583,4.767579227952092,2.0493991826945406,3.9540960539889634,4.764844711420293,2.8444823660773153,6.246776693474955,3.6391892221318614,3.442784320714106,5.709110592692888,1.0715090613426979,0.522909084898187,1.572303447774586,1.5738407833040862,2.741880340195495,3.2907571032641005,2.994323167201288,4.668797604705654,3.441086506492489,6.432304110447891,1.6867501199390245,2.774362508781835,3.4150070486434103,7.205043875936049,1.571352936057364,1.570778331184611,3.515849909180389,5.8447275243250285,6.265621521093972,1.6712777723526173,3.1769344293267605,1.8980912474052714,5.601166459900532,3.698542213081609,3.90554231467777,3.7621967344055056,0.729026690500609,3.6162369473588067,4.013547183387061,3.827914147571063,2.108498343615067,4.014600929194604,5.095586525227774,3.0886567539628165,4.38804645195751,3.5581149784864077,5.837851859693512,1.7200808710351292,1.3927839548176975,1.1336663835515335,3.2744450895764663,1.0666830518872974,2.5532521982970513,1.745410996519762,2.071452922107952,4.507540596862786,6.318223810899397,1.7348694583680335,1.8012577068418292,3.686363488871369,1.7104300110998756,0.5328605176588659,7.516495896072428,8.963990287145798,11.65146833331611,17.9511555891951,9.16846142945524,20.354185454938218,9.510265490020991,11.310695111525757,9.01811651359552,2.625335798262635,13.460661773836518,8.348586383032,17.61179796682547,18.689107882764407,12.160311817818803,33.61547119127178,7.526910473137294,13.420917075292916
8,1.5743197447321626,3.467317195762167,3.154666098228296,3.464393347077248,7.872032049917404,4.763297501406109,2.04951850358779,3.9568651858226307,4.769495484574379,2.84655158822352,6.249916127037045,3.6372742257991266,3.4431037352917775,5.703037982815032,1.072219237329796,0.5259467124425774,1.5701689829084073,1.5708669384516785,2.7505638950509073,3.297584414821349,2.9960304882577766,4.670966728526108,3.43386369651017,6.434279791613978,1.686687182497084,2.776689959379288,3.406076513292348,7.205298854849818,1.5705124122781995,1.5705635722975289,3.5211994518382332,5.839889235684991,6.268769467408454,1.6711726672041514,3.1787245757592193,1.8971417940626436,5.599567484515722,3.7006467228599433,3.9030946663024313,3.7737236504760117,0.7299027541193915,3.6122179437149433,4.012477083530721,3.8315285204400933,2.113097249801587,4.009910745992148,5.089210818694578,3.0939630109241887,4.387698030511677,3.5595811860306004,5.83705751694869,1.717090815352011,1.3938553740946205,1.1374150836598045,3.2727405272888506,1.0661189570865983,2.553123033109032,1.7434341411340744,2.069900354747441,4.506157158469399,6.325320922472546,1.7373305417043268,1.8036455426231417,3.6844302230948616,1.7108141888546455,0.5339186943456867,7.535267075785939,8.964399212645391,11.671249392892562,17.98872310462483,9.179274921344085,20.369744791342526,9.556008043427688,11.326442453542445,9.032642250103919,2.6382497869741828,13.466281567414857,8.378118092401934,17.670330474018307,18.758736551384175,12.045476520929029,33.65873731096822,7.550547222054656,13.428203069886194
9,1.5741224676916543,3.4680719756964797,3.1435626389244593,3.457060266356383,7.867489198954971,4.756285797720673,2.0586981153698316,3.9634908840460454,4.768098340433867,2.8398296762310276,6.253907889169204,3.637091218776274,3.449767135860775,5.705843904799461,1.076558260305899,0.5296879119060072,1.5681160982267524,1.5664152194262413,2.7431464961543774,3.2999448153817244,3.0019135339273015,4.671027900172107,3.425624449376714,6.4307584787702465,1.6869949349302704,2.7769899603868793,3.3980024646161886,7.205072956261155,1.5703268230241219,1.5717603126819397,3.5227664419841958,5.839271408373948,6.269163351032574,1.6727668805732714,3.178812277434955,1.9051144419566768,5.599700561316654,3.69681369581419,3.9120745026834993,3.766763912574357,0.7297769518323624,3.6143744750420668,4.016989174236558,3.829924151377427,2.11108038857178,4.0172641906665145,5.091692790866196,3.095835942647841,4.386548860786499,3.5579775528645228,5.839452277680894,1.718898435200706,1.3938972736228878,1.1357824727955212,3.274066772089075,1.0660978258412093,2.5507341189172776,1.7453698527941657,2.071174774776343,4.505240958674316,6.3253663201155765,1.737784670078853,1.8015680429230585,3.682514577723227,1.7129026733700015,0.5341359909339365,7.569288395915318,8.978821346016456,11.682757224684565,18.035259883687498,9.196903527497998,20.382452139814898,9.554036488151972,11.391376710214027,9.02632580954758,2.6416366810908616,13.443593934344516,8.409233981998241,17.701695445682226,18.837884879451618,12.054906828811149,33.73128462368383,7.591121288543903,13.4434660149625
