,1th_theta,2th_theta,3th_theta,4th_theta,5th_theta,6th_theta,7th_theta,8th_theta,9th_theta,10th_theta,11th_theta,12th_theta,13th_theta,14th_theta,15th_theta,16th_theta,17th_theta,18th_theta,19th_theta,20th_theta,21th_theta,22th_theta,23th_theta,24th_theta,25th_theta,26th_theta,27th_theta,28th_theta,29th_theta,30th_theta,31th_theta,32th_theta,33th_theta,34th_theta,35th_theta,36th_theta,37th_theta,38th_theta,39th_theta,40th_theta,41th_theta,42th_theta,43th_theta,44th_theta,45th_theta,46th_theta,47th_theta,48th_theta,49th_theta,50th_theta,51th_theta,52th_theta,53th_theta,54th_theta,55th_theta,56th_theta,57th_theta,58th_theta,59th_theta,60th_theta,61th_theta,62th_theta,63th_theta,64th_theta,65th_theta,66th_theta,67th_theta,68th_theta,69th_theta,70th_theta,71th_theta,72th_theta,73th_theta,74th_theta,75th_theta,76th_theta,77th_theta,78th_theta,79th_theta,80th_theta,81th_theta,82th_theta,83th_theta,84th_theta
0,1.5729552206005128,3.1195827774881675,3.150725814333895,3.153873360530485,6.87115628577844,3.697521642411714,1.4289485834879811,3.8030076826660135,4.914508701631044,2.765782845097492,5.855414336666761,3.0167478334012627,3.5298935723029974,5.4110179359585935,0.5168703326138689,0.20270773327944797,1.8202231215878024,1.3128148183530999,2.4625965682588085,2.814551428111866,2.346501542275671,4.779815763716218,3.3163982834264205,6.136611608829484,1.464180781167961,2.3986349748726408,3.1781296366238188,6.306505654454048,1.6133366723225828,1.534172196518402,3.333152425754184,5.693663915118287,6.140118982943893,1.1546773411196105,2.9269398493391297,1.8555432831217948,5.649736713445561,3.4616504452194796,3.8473590127603297,3.285836008429116,0.36117807854523964,3.34766766474106,3.9790020559772383,3.648390231502381,1.7286711236040748,4.171264926207726,5.1219121789697555,2.7569514103344517,4.331810234838991,3.601391153086354,5.485412376144705,1.2102630511512948,1.0181701114964974,0.8137147496154432,2.9846581872733635,0.7633485356548331,2.326651484983017,1.4393274372879041,2.0631207277616923,4.453012825428145,5.8593274587024435,1.5948603032225976,1.6850140586567646,3.547725721360333,1.2202739138409613,0.24513195133535937,3.197821436182899,4.034469834740118,4.31282347928968,5.724221535320831,3.3571450213340235,6.612632765782918,3.7119127777711665,3.253706205268291,3.2251970238921626,0.8919644893313079,5.7091302704393865,3.4993770100810675,6.209529779416398,7.059891417020202,4.20639410972022,11.84176365924622,2.9367528114284873,5.539007462671297
1,1.573120899321058,3.118869629549195,3.152458799751011,3.155967453651777,6.878939424077298,3.705676710576435,1.4270270414787811,3.8022196830418427,4.912514544861111,2.764904493305725,5.852556916831924,3.021392342547922,3.526798476672898,5.4269780901646145,0.5176791649436279,0.20280158379668695,1.8160321631957388,1.312241517950567,2.460833636311958,2.8139812465541665,2.3488089721507937,4.782414150264416,3.320957207372699,6.139205101474561,1.4676209057802199,2.399430212536986,3.182773588928532,6.3109189839003434,1.6135424003613759,1.5343256656777164,3.33258635022377,5.696312906256521,6.142949318520666,1.1544071087555294,2.925956230312485,1.8568541980275795,5.647087967921653,3.4656478392531236,3.846990920876876,3.289360869837368,0.36152703717325496,3.351253398185408,3.97634597014504,3.6463757236379237,1.7272566189409553,4.16804995497313,5.125834532199669,2.755014480986259,4.332241110815049,3.5995541822039403,5.488536191209098,1.2116643977368784,1.0174682918803917,0.813199689596728,2.9836041496104175,0.7649177850815684,2.3249986623198327,1.438516503883418,2.0640912029043763,4.4533293084036245,5.863216889322395,1.5956278804097295,1.6850920489367633,3.5454205642488184,1.2195519906654435,0.24535298599701605,3.202042375049528,4.0486847826815815,4.3186850870216915,5.732548928137806,3.360808288869067,6.625111476721771,3.7255501802010094,3.2562527840569233,3.2273808334995313,0.893306677523626,5.718897167521554,3.5056793899361955,6.222451123001288,7.085829144043711,4.2145067990605405,11.847396171905576,2.9430994604715526,5.548221191669738
2,1.5726974230660513,3.116641783218113,3.150837484976079,3.1539602126728647,6.871031599743764,3.713886605232874,1.4264022030219585,3.799514692090778,4.912921135397699,2.764135108122244,5.862203648805265,3.0174139722464517,3.5287932199839114,5.42016104208391,0.5184167235195584,0.20272382183616144,1.814391953837689,1.315995285531714,2.4697653398310297,2.8027914107702716,2.345518835479992,4.77760462539929,3.3188543394649566,6.144813500244666,1.4660594592096738,2.3983303705463266,3.178699723879994,6.317372651248973,1.6123685172700764,1.5337310971573856,3.3345189162059414,5.69561199992249,6.144800372932399,1.157842366764563,2.926606761306438,1.8554949246254784,5.646779808046647,3.4666341393299174,3.844521353964006,3.291823450871896,0.36139804138793663,3.3509055595178268,3.9803029689274734,3.6459585370249603,1.7286087937878118,4.170180383081559,5.119285920732898,2.7569262189530925,4.330736695193346,3.6049733513662177,5.48674568548425,1.2100934172621383,1.0176361335415898,0.8147101820063372,2.984374507883392,0.7646534680115831,2.3228154877671985,1.438018462965268,2.0622578047690356,4.456928076902857,5.862548195677501,1.5943433673591412,1.6854399368413908,3.5443550181541186,1.222229955213797,0.24549161595365504,3.2015498322469362,4.051400780733708,4.320081957364596,5.73111536623894,3.3709383577612533,6.645130710372824,3.7253028436838127,3.2557410601197985,3.23479228198938,0.8932886203020984,5.871433039879157,3.5084283773535088,6.225584329977556,7.085986888133323,4.2267120479295714,11.860137646501045,2.9497360893081606,5.563961742137816
3,1.572381627686231,3.11473626973426,3.1488591632116796,3.151401945223014,6.875380980975753,3.7108473326347777,1.4314897574658483,3.805336886881771,4.912533364440938,2.7668221537844384,5.857151800998548,3.0169910815659597,3.529034032852935,5.424299045029176,0.518918802858339,0.1984841891982193,1.8226391407320928,1.3219770465558303,2.4664139151937636,2.809437812858735,2.350062499564286,4.775509778198655,3.3152968029499803,6.147143908466183,1.4654379217517293,2.397463213279922,3.174574613306098,6.311388723558033,1.6126615831220867,1.5321028640139107,3.334345896360724,5.698896197579206,6.146956313628562,1.1600722262918013,2.9287996031741415,1.8558613917348936,5.640357746788986,3.466246945085346,3.850678550351282,3.2886251225440715,0.36303740631059445,3.3506964112095305,3.979625132363774,3.6412818373361766,1.732695896739004,4.165493844936681,5.125447145729784,2.7532376358497324,4.327953932231846,3.6006676388875363,5.491157793884975,1.2132261739072165,1.0184020457388279,0.8140273961268636,2.985120812705608,0.7661426949052381,2.324733520382747,1.4393924372377498,2.063225064587109,4.4538182235846,5.860827004955721,1.5958432389927169,1.6852602171384197,3.551534705855164,1.2233845333287818,0.23982920703202149,3.212824350820806,4.065125713680001,4.334408460140047,5.757165735035415,3.3862573455000824,6.675085511838907,3.692798436861251,3.2672839379179988,3.249472647448526,0.8973419338564845,5.898121212473524,3.517467937249199,6.253845801273515,7.118195727063737,4.245924260668057,11.914047041082043,2.9631159599564665,5.589252326271884
4,1.5737304430713661,3.1175785082635743,3.148636439586551,3.1496388345134045,6.877829535792447,3.7102014395407608,1.4315273421720582,3.8058512555430237,4.91219396195314,2.765722134409028,5.857644153712114,3.0156392232797025,3.529003498801117,5.42249609317069,0.5198467310091972,0.19892285208561394,1.8218965262835551,1.3226485727619464,2.4689565792315067,2.8095659300179383,2.3494608314689263,4.776462719187364,3.312447947510339,6.149482788850545,1.4662806587980928,2.3988947265770064,3.172449798114429,6.311434359812189,1.6130102361226615,1.5315864988129992,3.3373580622213606,5.69770154430808,6.148843462997991,1.1609647437057355,2.9277922321326564,1.8552672375884631,5.642829465713615,3.4661741606280847,3.851009560124513,3.289400674072473,0.3638397424439054,3.35039625650362,3.9796673187783975,3.641660768883825,1.7339478930297996,4.1657594347542215,5.12309800358111,2.754713041500336,4.32753282215025,3.6018146861728493,5.489087277020385,1.2133082991650246,1.0198322492767407,0.8157137537488555,2.9857223137078437,0.7661353847320624,2.326611007419797,1.4391110867681185,2.062569605339706,4.453056341413818,5.860760210814075,1.5962430919566444,1.6860339880394006,3.5510600505455656,1.2244581031119295,0.2403047613591337,3.2190543577178534,4.073370983841073,4.343987782996717,5.769889443431254,3.3937411931084926,6.689837882272341,3.6952818865939046,3.2726847602412317,3.2566541920330057,0.8982865131177744,5.911156441585326,3.6014528086911475,6.267667204719258,7.131213719500858,4.145023369573215,11.940377855121747,2.968160077878429,5.598792340902966
5,1.5735279878711157,3.116095866157341,3.151742843462193,3.1524763915285865,6.885937076093516,3.7124134658993158,1.4304482568008896,3.8067298089992256,4.912281918573521,2.7642194373014886,5.8544243482604506,3.016427213821361,3.5267512078949275,5.421765865934204,0.5203281148485327,0.19916761955035808,1.821235119259402,1.3266528782186628,2.467632992772709,2.810510817262989,2.3497084997343594,4.780079057391156,3.310045258476842,6.1494559372199635,1.4693401702132172,2.40227298020306,3.172024441466233,6.313953449758649,1.6144550989677002,1.5322845366826976,3.339029806478843,5.699128714235675,6.150549552977273,1.1619430452527115,2.928680798200608,1.856663779825133,5.642414888373667,3.4702866833779846,3.8515625931411135,3.2922898083933765,0.363878714473169,3.354048878332412,3.977416678379506,3.6430285142210126,1.7337042878237594,4.163066324643371,5.126603467419727,2.754189212443154,4.329010011597776,3.5936721535430705,5.491746505853657,1.21478077955761,1.0196359811792455,0.8162392727776754,2.9868406027914474,0.7670242595339767,2.325329129908204,1.4400831541145893,2.0634391232667877,4.461879300697899,5.864236517606614,1.5963433033347805,1.6864819843933483,3.5483530957552114,1.2245735417068713,0.24035407683481608,3.222734866047365,4.076690096082334,4.354000823180634,5.774386033528854,3.4027786141564262,6.708100058257441,3.6985371954212827,3.2744053691421393,3.2577961812098994,0.9006855495848191,5.916266288215263,3.6112480539284735,6.270386955074576,7.147789013636193,4.14715476074254,11.968467189132896,2.97620680649006,5.601959752535782
6,1.5733342108826598,3.117697575112009,3.157857368612543,3.151147130018665,6.899296108707118,3.7196157176797326,1.429847166973556,3.805184068487753,4.9124316414526685,2.7635907725247195,5.853307427556538,3.0165338085602764,3.5286588206652763,5.423647628079424,0.5208838343856665,0.19821486331299218,1.7764727141243135,1.3286192271367163,2.4665243831648196,2.810513735762664,2.3502436826199737,4.7826392027056155,3.3100029939410986,6.148538296216204,1.4712403928906015,2.4044351624731863,3.170937574417448,6.31694437195182,1.617101282701245,1.5343500376709498,3.340808968829042,5.701241465148411,6.149746964171733,1.1622748398271443,2.9302822409624607,1.8581536161692205,5.6444512488330645,3.471988019122976,3.8502945530962283,3.294382723355519,0.36458465580843336,3.3561080823971814,3.978127520955019,3.6442764168311133,1.7334899094087612,4.161430397112385,5.128710527998496,2.7557001552559264,4.330112663735498,3.595400709125881,5.493697830693543,1.2158784726031997,1.0198661331432781,0.817490509187581,2.985428030735923,0.767254552374093,2.326648262043666,1.4395062519278872,2.0635546295110814,4.461430874511114,5.866196686021045,1.5981357340079085,1.6883347098427084,3.550516087501271,1.2261744114052369,0.24082037472800993,3.2289871189658554,4.084599061172673,4.416872794044343,5.785588606322218,3.409380160174213,6.719141970750214,3.7057125266028343,3.2807578651979603,3.2641164546820964,0.902432920712168,5.927744115186618,3.6182540401864323,6.282045160799095,7.161656050975215,4.1552004305025445,11.991686562436438,2.981980783706725,5.610940908763327
7,1.5715838040325942,3.116017888092153,3.1565905327060886,3.1479523005327916,6.894673859471935,3.725075801016437,1.4337702615026602,3.807616173496435,4.90755784019513,2.7641675398167553,5.856044150721606,3.017277710536961,3.5259375142569294,5.42299478449543,0.5226633427460964,0.1911542231011411,1.7816744620867655,1.3338494273865664,2.469741528911203,2.812063467397787,2.3522066084649214,4.779476730915656,3.308620525031626,6.150299155799313,1.4695741593955296,2.4029089083427664,3.1729535133317848,6.314783575188471,1.6152790342870709,1.5319699338827735,3.3357645589227682,5.703774185738165,6.147123309552095,1.1668502140453598,2.927671894437446,1.8595944112881975,5.643836452573329,3.4709390225528316,3.848954262593359,3.293046254154395,0.3660198681845265,3.3549991158540786,3.9801026907704475,3.6446236773368814,1.7336541242956833,4.163490846723455,5.1257752225802236,2.7566237260267386,4.32792917518175,3.595503293971567,5.492092441926764,1.2155214164666923,1.0214632139210005,0.8173710597497732,2.9888717412592785,0.7664262638595798,2.3301406198993266,1.4441097547950816,2.0645270539782206,4.458258438196718,5.865807480468995,1.5971822726726317,1.6930114221510406,3.5509400501785033,1.2289289092186837,0.24164011236469143,3.2416982470990674,4.0986027965122975,4.431263449416415,5.808363970667626,3.421224582951062,6.7455923316184485,3.7203003168339803,3.291498697842014,3.276965871842516,0.9053240113335342,5.951079084393059,3.6324975441178093,6.302004808267401,7.185161076301615,4.171557660539502,11.952043863652136,2.9922395156719936,5.632108575702731
8,1.5722182535526894,3.1180502658116414,3.15725673248916,3.1467967780716113,6.894277077381201,3.7282897823844445,1.4358190601760474,3.807028059141258,4.908709281541215,2.7654288974857595,5.8539342411267015,3.018279808648078,3.5265876532574936,5.423671653534923,0.523813989770742,0.1915824683871561,1.7806899534921472,1.334345313526508,2.471007731853712,2.814189332177226,2.3528887442751065,4.777447646864658,3.3113060648823627,6.152695133202437,1.468489819668064,2.405085521249678,3.175641529942654,6.3220325017153165,1.6150670167373051,1.5321071738799104,3.335386886788971,5.705945843993053,6.149928484451014,1.1665702959406823,2.9275083268017488,1.8603130775837369,5.641697209014564,3.470021741398587,3.848838942382988,3.291645255629093,0.36683146890428586,3.356152927516926,3.9810933986571264,3.6439933838252494,1.7347606890666163,4.162393151670864,5.1251337196525295,2.7555194897217996,4.328573099882563,3.594606327230312,5.491211722537335,1.2161292278979583,1.0217996114555898,0.8177034365121678,2.989354649957612,0.7665867130270465,2.3314533222009333,1.4436038203224393,2.0650471845686833,4.458367912929663,5.867998131564072,1.5990125217741684,1.6947366972173934,3.54972885825769,1.2284722368761072,0.242178177590254,3.248969184001168,4.107769079215258,4.441145166173795,5.821313050049811,3.4289339851650085,6.760795675576507,3.72853545050474,3.2989157751875933,3.2843090940546977,0.9073416833678962,5.964489271639245,3.5469789456835974,6.316205773051557,7.201100368322596,4.18089779058214,12.12830335910497,2.998930447699048,5.644591101371015
9,1.571989578401571,3.121816000279981,3.1687010425888493,3.151373815826139,6.901858214410636,3.741803952446074,1.435705445564536,3.8056234050666333,4.910540144242084,2.7640055773187906,5.84989048163131,3.0208356945149113,3.524971186551421,5.421053033891566,0.5235667320063375,0.19187142461431356,1.7789735740958859,1.3332699572464488,2.4699530655782835,2.7968766136080934,2.352189948581347,4.782209664671864,3.3112564118066703,6.149767775867582,1.471691225905969,2.406245438441358,3.1764958884693044,6.325141484169867,1.6132850180489526,1.5317832823510145,3.336580712590392,5.7097436153871515,6.146962842326488,1.1685371112819585,2.9303027885306605,1.860633566547541,5.640799790456523,3.4749916629994817,3.846334602452579,3.2963172518544104,0.36670107917276945,3.359541699201945,3.9784440512634736,3.6451598837637063,1.734520173309063,4.159672645775358,5.130052487898061,2.754286272717745,4.331270290635099,3.5979441730439565,5.495370308970429,1.2192346304551447,1.0221174671000537,0.8187723803807913,2.993151398800606,0.7680436409314079,2.330167136981223,1.4437822682267625,2.065754680240649,4.461373297459733,5.869560540341208,1.5984960103760266,1.6940382143566926,3.547589954169901,1.230155651391352,0.24256705937513584,3.177587790251973,4.117710354150783,4.450706636960791,5.828742777421402,3.441363061151687,6.785301963404068,3.7371146171365255,3.304682212132168,3.2962139389628633,0.9106305827101552,5.976448523205836,3.5598359067769816,6.339100527468048,7.217091063679047,4.196052557794497,12.172265594800368,3.003028253453496,5.665051411197982
